Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber,GameType(Optional)
genesis 5,hbox,plup,JigglyPuff_Green,NA,Fox_Green,NA,Battlefield,P3:Fox_Green,5,GF2
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
101,17,NA,0,NA,3,NA,4,NA,NA
102,17,NA,0,NA,3,NA,4,NA,NA
103,17,NA,0,NA,3,NA,4,NA,NA
104,17,NA,0,NA,3,NA,4,NA,NA
105,17,NA,0,NA,3,NA,4,NA,NA
106,17,NA,0,NA,3,NA,4,NA,NA
107,17,NA,0,NA,3,NA,4,NA,NA
108,17,NA,0,NA,3,NA,4,NA,NA
109,17,NA,0,NA,3,NA,4,NA,NA
110,17,NA,0,NA,3,NA,4,NA,NA
111,17,NA,0,NA,3,NA,4,NA,NA
112,17,NA,0,NA,3,NA,4,NA,NA
113,17,NA,0,NA,3,NA,4,NA,NA
114,17,NA,0,NA,3,NA,4,NA,NA
115,17,NA,0,NA,3,NA,4,NA,NA
116,17,NA,0,NA,3,NA,4,NA,NA
117,17,NA,0,NA,3,NA,4,NA,NA
118,17,NA,0,NA,3,NA,4,NA,NA
119,17,NA,0,NA,3,NA,4,NA,NA
120,17,NA,0,NA,3,NA,4,NA,NA
121,17,NA,0,NA,3,NA,4,NA,NA
122,17,NA,0,NA,3,NA,4,NA,NA
123,17,NA,0,NA,3,NA,4,NA,NA
124,17,NA,0,NA,3,NA,4,NA,NA
125,17,NA,0,NA,3,NA,4,NA,NA
126,17,NA,0,NA,3,NA,4,NA,NA
127,17,NA,0,NA,3,NA,4,NA,NA
128,17,NA,0,NA,3,NA,4,NA,NA
129,17,NA,0,NA,3,NA,4,NA,NA
130,17,NA,0,NA,3,NA,4,NA,NA
131,17,NA,0,NA,3,NA,4,NA,NA
132,17,NA,0,NA,3,NA,4,NA,NA
133,17,NA,0,NA,3,NA,4,NA,NA
134,17,NA,0,NA,3,NA,4,NA,NA
135,17,NA,0,NA,3,NA,4,NA,NA
136,17,NA,0,NA,3,NA,4,NA,NA
137,17,NA,0,NA,3,NA,4,NA,NA
138,17,NA,0,NA,3,NA,4,NA,NA
139,17,NA,0,NA,3,NA,4,NA,NA
140,17,NA,0,NA,3,NA,4,NA,NA
141,17,NA,0,NA,3,NA,4,NA,NA
142,17,NA,0,NA,3,NA,4,NA,NA
143,17,NA,0,NA,3,NA,4,NA,NA
144,17,NA,0,NA,3,NA,4,NA,NA
145,17,NA,0,NA,3,NA,4,NA,NA
146,17,NA,0,NA,3,NA,4,NA,NA
147,17,NA,0,NA,3,NA,4,NA,NA
148,17,NA,0,NA,3,NA,4,NA,NA
149,17,NA,0,NA,3,NA,4,NA,NA
150,17,NA,0,NA,3,NA,4,NA,NA
151,17,NA,0,NA,3,NA,4,NA,NA
152,17,NA,0,NA,3,NA,4,NA,NA
153,17,NA,0,NA,3,NA,4,NA,NA
154,17,NA,0,NA,3,NA,4,NA,NA
155,17,NA,0,NA,3,NA,4,NA,NA
156,17,NA,0,NA,3,NA,4,NA,NA
157,17,NA,0,NA,3,NA,4,NA,NA
158,17,NA,0,NA,3,NA,4,NA,NA
159,17,NA,0,NA,3,NA,4,NA,NA
160,17,NA,0,NA,3,NA,4,NA,NA
161,17,NA,0,NA,3,NA,4,NA,NA
162,17,NA,0,NA,3,NA,4,NA,NA
163,17,NA,0,NA,3,NA,4,NA,NA
164,17,NA,0,NA,3,NA,4,NA,NA
165,17,NA,0,NA,3,NA,4,NA,NA
166,17,NA,0,NA,3,NA,4,NA,NA
167,17,NA,0,NA,3,NA,4,NA,NA
168,17,NA,0,NA,3,NA,4,NA,NA
169,17,NA,0,NA,3,NA,4,NA,NA
170,17,NA,0,NA,3,NA,4,NA,NA
171,17,NA,0,NA,3,NA,4,NA,NA
172,17,NA,0,NA,3,NA,4,NA,NA
173,17,NA,0,NA,3,NA,4,NA,NA
174,17,NA,0,NA,3,NA,4,NA,NA
175,17,NA,0,NA,3,NA,4,NA,NA
176,17,NA,0,NA,3,NA,4,NA,NA
177,17,NA,0,NA,3,NA,4,NA,NA
178,17,NA,0,NA,3,NA,4,NA,NA
179,17,NA,0,NA,3,NA,4,NA,NA
180,17,NA,0,NA,3,NA,4,NA,NA
181,17,NA,0,NA,3,NA,4,NA,NA
182,17,NA,0,NA,3,NA,4,NA,NA
183,17,NA,0,NA,3,NA,4,NA,NA
184,17,NA,0,NA,3,NA,4,NA,NA
185,17,NA,0,NA,3,NA,4,NA,NA
186,17,NA,0,NA,3,NA,4,NA,NA
187,17,NA,0,NA,3,NA,4,NA,NA
188,17,NA,0,NA,3,NA,4,NA,NA
189,17,NA,0,NA,3,NA,4,NA,NA
190,17,NA,0,NA,3,NA,4,NA,NA
191,22,NA,0,NA,3,NA,4,NA,NA
192,22,NA,0,NA,3,NA,4,NA,NA
193,22,NA,0,NA,3,NA,4,NA,NA
194,22,NA,0,NA,3,NA,4,NA,NA
195,22,NA,0,NA,3,NA,4,NA,NA
196,22,NA,0,NA,3,NA,4,NA,NA
197,22,NA,0,NA,3,NA,4,NA,NA
198,22,NA,0,NA,3,NA,4,NA,NA
199,22,NA,0,NA,3,NA,4,NA,NA
200,22,NA,0,NA,3,NA,4,NA,NA
201,22,NA,0,NA,3,NA,4,NA,NA
202,22,NA,0,NA,3,NA,4,NA,NA
203,22,NA,0,NA,3,NA,4,NA,NA
204,22,NA,0,NA,3,NA,4,NA,NA
205,22,NA,0,NA,3,NA,4,NA,NA
206,22,NA,0,NA,3,NA,4,NA,NA
207,22,NA,0,NA,3,NA,4,NA,NA
208,22,NA,0,NA,3,NA,4,NA,NA
209,22,NA,0,NA,3,NA,4,NA,NA
210,22,NA,0,NA,3,NA,4,NA,NA
211,22,NA,0,NA,3,NA,4,NA,NA
212,22,NA,0,NA,3,NA,4,NA,NA
213,22,NA,0,NA,3,NA,4,NA,NA
214,22,NA,0,NA,3,NA,4,NA,NA
215,22,NA,0,NA,3,NA,4,NA,NA
216,22,NA,0,NA,3,NA,4,NA,NA
217,22,NA,0,NA,3,NA,4,NA,NA
218,22,NA,0,NA,3,NA,4,NA,NA
219,22,NA,0,NA,3,NA,4,NA,NA
220,22,NA,0,NA,3,NA,4,NA,NA
221,22,NA,0,NA,3,NA,4,NA,NA
222,22,NA,0,NA,3,NA,4,NA,NA
223,22,NA,0,NA,3,NA,4,NA,NA
224,22,NA,0,NA,3,NA,4,NA,NA
225,22,NA,0,NA,3,NA,4,NA,NA
226,22,NA,0,NA,3,NA,4,NA,NA
227,22,NA,0,NA,3,NA,4,NA,NA
228,22,NA,0,NA,3,NA,4,NA,NA
229,22,NA,0,NA,3,NA,4,NA,NA
230,22,NA,0,NA,3,NA,4,NA,NA
231,22,NA,0,NA,3,NA,4,NA,NA
232,22,NA,0,NA,3,NA,4,NA,NA
233,22,NA,0,NA,3,NA,4,NA,NA
234,22,NA,0,NA,3,NA,4,NA,NA
235,22,NA,0,NA,3,NA,4,NA,NA
236,22,NA,0,NA,3,NA,4,NA,NA
237,22,NA,0,NA,3,NA,4,NA,NA
238,22,NA,0,NA,3,NA,4,NA,NA
239,22,NA,0,NA,3,NA,4,NA,NA
240,22,NA,0,NA,3,NA,4,NA,NA
241,22,NA,0,NA,3,NA,4,NA,NA
242,22,NA,0,NA,3,NA,4,NA,NA
243,22,NA,0,NA,3,NA,4,NA,NA
244,22,NA,0,NA,3,NA,4,NA,NA
245,22,NA,0,NA,3,NA,4,NA,NA
246,22,NA,0,NA,3,NA,4,NA,NA
247,22,NA,0,NA,3,NA,4,NA,NA
248,22,NA,0,NA,3,NA,4,NA,NA
249,22,NA,0,NA,3,NA,4,NA,NA
250,22,NA,0,NA,3,NA,4,NA,NA
251,22,NA,0,NA,3,NA,4,NA,NA
252,22,NA,0,NA,3,NA,4,NA,NA
253,22,NA,0,NA,3,NA,4,NA,NA
254,22,NA,0,NA,3,NA,4,NA,NA
255,22,NA,0,NA,3,NA,4,NA,NA
256,22,NA,0,NA,3,NA,4,NA,NA
257,22,NA,11,NA,3,NA,4,NA,NA
258,22,NA,11,NA,3,NA,4,NA,NA
259,22,NA,11,NA,3,NA,4,NA,NA
260,22,NA,11,NA,3,NA,4,NA,NA
261,22,NA,11,NA,3,NA,4,NA,NA
262,22,NA,11,NA,3,NA,4,NA,NA
263,22,NA,11,NA,3,NA,4,NA,NA
264,22,NA,11,NA,3,NA,4,NA,NA
265,22,NA,11,NA,3,NA,4,NA,NA
266,22,NA,11,NA,3,NA,4,NA,NA
267,22,NA,11,NA,3,NA,4,NA,NA
268,22,NA,11,NA,3,NA,4,NA,NA
269,22,NA,11,NA,3,NA,4,NA,NA
270,22,NA,11,NA,3,NA,4,NA,NA
271,22,NA,11,NA,3,NA,4,NA,NA
272,22,NA,11,NA,3,NA,4,NA,NA
273,22,NA,11,NA,3,NA,4,NA,NA
274,22,NA,11,NA,3,NA,4,NA,NA
275,22,NA,11,NA,3,NA,4,NA,NA
276,22,NA,11,NA,3,NA,4,NA,NA
277,22,NA,11,NA,3,NA,4,NA,NA
278,22,NA,11,NA,3,NA,4,NA,NA
279,22,NA,11,NA,3,NA,4,NA,NA
280,22,NA,11,NA,3,NA,4,NA,NA
281,22,NA,11,NA,3,NA,4,NA,NA
282,22,NA,11,NA,3,NA,4,NA,NA
283,22,NA,11,NA,3,NA,4,NA,NA
284,22,NA,11,NA,3,NA,4,NA,NA
285,22,NA,11,NA,3,NA,4,NA,NA
286,22,NA,11,NA,3,NA,4,NA,NA
287,22,NA,11,NA,3,NA,4,NA,NA
288,22,NA,11,NA,3,NA,4,NA,NA
289,22,NA,11,NA,3,NA,4,NA,NA
290,22,NA,11,NA,3,NA,4,NA,NA
291,22,NA,11,NA,3,NA,4,NA,NA
292,22,NA,11,NA,3,NA,4,NA,NA
293,22,NA,11,NA,3,NA,4,NA,NA
294,22,NA,11,NA,3,NA,4,NA,NA
295,22,NA,11,NA,3,NA,4,NA,NA
296,22,NA,11,NA,3,NA,4,NA,NA
297,22,NA,11,NA,3,NA,4,NA,NA
298,22,NA,11,NA,3,NA,4,NA,NA
299,22,NA,11,NA,3,NA,4,NA,NA
300,22,NA,11,NA,3,NA,4,NA,NA
301,22,NA,11,NA,3,NA,4,NA,NA
302,22,NA,11,NA,3,NA,4,NA,NA
303,22,NA,11,NA,3,NA,4,NA,NA
304,22,NA,11,NA,3,NA,4,NA,NA
305,22,NA,11,NA,3,NA,4,NA,NA
306,22,NA,21,NA,3,NA,4,NA,NA
307,22,NA,21,NA,3,NA,4,NA,NA
308,22,NA,21,NA,3,NA,4,NA,NA
309,22,NA,21,NA,3,NA,4,NA,NA
310,22,NA,21,NA,3,NA,4,NA,NA
311,22,NA,21,NA,3,NA,4,NA,NA
312,22,NA,21,NA,3,NA,4,NA,NA
313,22,NA,21,NA,3,NA,4,NA,NA
314,22,NA,21,NA,3,NA,4,NA,NA
315,22,NA,21,NA,3,NA,4,NA,NA
316,22,NA,21,NA,3,NA,4,NA,NA
317,22,NA,21,NA,3,NA,4,NA,NA
318,22,NA,21,NA,3,NA,4,NA,NA
319,22,NA,21,NA,3,NA,4,NA,NA
320,22,NA,21,NA,3,NA,4,NA,NA
321,22,NA,21,NA,3,NA,4,NA,NA
322,22,NA,21,NA,3,NA,4,NA,NA
323,22,NA,21,NA,3,NA,4,NA,NA
324,22,NA,21,NA,3,NA,4,NA,NA
325,22,NA,21,NA,3,NA,4,NA,NA
326,22,NA,21,NA,3,NA,4,NA,NA
327,22,NA,21,NA,3,NA,4,NA,NA
328,22,NA,21,NA,3,NA,4,NA,NA
329,22,NA,21,NA,3,NA,4,NA,NA
330,22,NA,21,NA,3,NA,4,NA,NA
331,22,NA,21,NA,3,NA,4,NA,NA
332,22,NA,21,NA,3,NA,4,NA,NA
333,22,NA,21,NA,3,NA,4,NA,NA
334,22,NA,33,NA,3,NA,4,NA,NA
335,22,NA,33,NA,3,NA,4,NA,NA
336,22,NA,33,NA,3,NA,4,NA,NA
337,22,NA,33,NA,3,NA,4,NA,NA
338,22,NA,33,NA,3,NA,4,NA,NA
339,22,NA,33,NA,3,NA,4,NA,NA
340,22,NA,33,NA,3,NA,4,NA,NA
341,22,NA,33,NA,3,NA,4,NA,NA
342,22,NA,33,NA,3,NA,4,NA,NA
343,22,NA,33,NA,3,NA,4,NA,NA
344,22,NA,33,NA,3,NA,4,NA,NA
345,22,NA,33,NA,3,NA,4,NA,NA
346,22,NA,33,NA,3,NA,4,NA,NA
347,22,NA,33,NA,3,NA,4,NA,NA
348,22,NA,33,NA,3,NA,4,NA,NA
349,22,NA,33,NA,3,NA,4,NA,NA
350,22,NA,33,NA,3,NA,4,NA,NA
351,22,NA,33,NA,3,NA,4,NA,NA
352,22,NA,33,NA,3,NA,4,NA,NA
353,22,NA,33,NA,3,NA,4,NA,NA
354,22,NA,33,NA,3,NA,4,NA,NA
355,22,NA,33,NA,3,NA,4,NA,NA
356,22,NA,33,NA,3,NA,4,NA,NA
357,22,NA,33,NA,3,NA,4,NA,NA
358,22,NA,33,NA,3,NA,4,NA,NA
359,22,NA,33,NA,3,NA,4,NA,NA
360,22,NA,33,NA,3,NA,4,NA,NA
361,22,NA,33,NA,3,NA,4,NA,NA
362,22,NA,33,NA,3,NA,4,NA,NA
363,22,NA,33,NA,3,NA,4,NA,NA
364,22,NA,33,NA,3,NA,4,NA,NA
365,22,NA,33,NA,3,NA,4,NA,NA
366,22,NA,33,NA,3,NA,4,NA,NA
367,22,NA,33,NA,3,NA,4,NA,NA
368,22,NA,33,NA,3,NA,4,NA,NA
369,22,NA,33,NA,3,NA,4,NA,NA
370,22,NA,33,NA,3,NA,4,NA,NA
371,22,NA,33,NA,3,NA,4,NA,NA
372,22,NA,33,NA,3,NA,4,NA,NA
373,22,NA,33,NA,3,NA,4,NA,NA
374,22,NA,33,NA,3,NA,4,NA,NA
375,22,NA,33,NA,3,NA,4,NA,NA
376,22,NA,33,NA,3,NA,4,NA,NA
377,22,NA,33,NA,3,NA,4,NA,NA
378,22,NA,33,NA,3,NA,4,NA,NA
379,22,NA,33,NA,3,NA,4,NA,NA
380,22,NA,33,NA,3,NA,4,NA,NA
381,22,NA,33,NA,3,NA,4,NA,NA
382,22,NA,33,NA,3,NA,4,NA,NA
383,22,NA,33,NA,3,NA,4,NA,NA
384,22,NA,33,NA,3,NA,4,NA,NA
385,22,NA,33,NA,3,NA,4,NA,NA
386,22,NA,33,NA,3,NA,4,NA,NA
387,22,NA,33,NA,3,NA,4,NA,NA
388,22,NA,33,NA,3,NA,4,NA,NA
389,22,NA,33,NA,3,NA,4,NA,NA
390,22,NA,33,NA,3,NA,4,NA,NA
391,22,NA,33,NA,3,NA,4,NA,NA
392,22,NA,33,NA,3,NA,4,NA,NA
393,22,NA,33,NA,3,NA,4,NA,NA
394,22,NA,33,NA,3,NA,4,NA,NA
395,22,NA,33,NA,3,NA,4,NA,NA
396,22,NA,33,NA,3,NA,4,NA,NA
397,22,NA,33,NA,3,NA,4,NA,NA
398,22,NA,33,NA,3,NA,4,NA,NA
399,22,NA,33,NA,3,NA,4,NA,NA
400,22,NA,33,NA,3,NA,4,NA,NA
401,22,NA,33,NA,3,NA,4,NA,NA
402,22,NA,33,NA,3,NA,4,NA,NA
403,22,NA,33,NA,3,NA,4,NA,NA
404,22,NA,33,NA,3,NA,4,NA,NA
405,22,NA,33,NA,3,NA,4,NA,NA
406,22,NA,33,NA,3,NA,4,NA,NA
407,22,NA,33,NA,3,NA,4,NA,NA
408,22,NA,33,NA,3,NA,4,NA,NA
409,22,NA,33,NA,3,NA,4,NA,NA
410,22,NA,33,NA,3,NA,4,NA,NA
411,22,NA,33,NA,3,NA,4,NA,NA
412,22,NA,33,NA,3,NA,4,NA,NA
413,22,NA,33,NA,3,NA,4,NA,NA
414,22,NA,33,NA,3,NA,4,NA,NA
415,22,NA,33,NA,3,NA,4,NA,NA
416,22,NA,33,NA,3,NA,4,NA,NA
417,22,NA,33,NA,3,NA,4,NA,NA
418,22,NA,33,NA,3,NA,4,NA,NA
419,22,NA,33,NA,3,NA,4,NA,NA
420,22,NA,33,NA,3,NA,4,NA,NA
421,22,NA,33,NA,3,NA,4,NA,NA
422,22,NA,33,NA,3,NA,4,NA,NA
423,22,NA,33,NA,3,NA,4,NA,NA
424,22,NA,33,NA,3,NA,4,NA,NA
425,22,NA,33,NA,3,NA,4,NA,NA
426,22,NA,33,NA,3,NA,4,NA,NA
427,22,NA,33,NA,3,NA,4,NA,NA
428,22,NA,33,NA,3,NA,4,NA,NA
429,22,NA,33,NA,3,NA,4,NA,NA
430,35,NA,33,NA,3,NA,4,NA,NA
431,35,NA,33,NA,3,NA,4,NA,NA
432,35,NA,33,NA,3,NA,4,NA,NA
433,35,NA,33,NA,3,NA,4,NA,NA
434,35,NA,33,NA,3,NA,4,NA,NA
435,35,NA,33,NA,3,NA,4,NA,NA
436,35,NA,33,NA,3,NA,4,NA,NA
437,35,NA,33,NA,3,NA,4,NA,NA
438,35,NA,33,NA,3,NA,4,NA,NA
439,35,NA,33,NA,3,NA,4,NA,NA
440,35,NA,33,NA,3,NA,4,NA,NA
441,35,NA,33,NA,3,NA,4,NA,NA
442,35,NA,33,NA,3,NA,4,NA,NA
443,35,NA,33,NA,3,NA,4,NA,NA
444,35,NA,33,NA,3,NA,4,NA,NA
445,35,NA,33,NA,3,NA,4,NA,NA
446,35,NA,33,NA,3,NA,4,NA,NA
447,35,NA,33,NA,3,NA,4,NA,NA
448,35,NA,33,NA,3,NA,4,NA,NA
449,35,NA,33,NA,3,NA,4,NA,NA
450,35,NA,33,NA,3,NA,4,NA,NA
451,35,NA,33,NA,3,NA,4,NA,NA
452,35,NA,33,NA,3,NA,4,NA,NA
453,35,NA,33,NA,3,NA,4,NA,NA
454,35,NA,33,NA,3,NA,4,NA,NA
455,35,NA,33,NA,3,NA,4,NA,NA
456,35,NA,33,NA,3,NA,4,NA,NA
457,35,NA,33,NA,3,NA,4,NA,NA
458,35,NA,33,NA,3,NA,4,NA,NA
459,35,NA,33,NA,3,NA,4,NA,NA
460,35,NA,33,NA,3,NA,4,NA,NA
461,35,NA,33,NA,3,NA,4,NA,NA
462,35,NA,33,NA,3,NA,4,NA,NA
463,35,NA,33,NA,3,NA,4,NA,NA
464,35,NA,33,NA,3,NA,4,NA,NA
465,35,NA,33,NA,3,NA,4,NA,NA
466,35,NA,33,NA,3,NA,4,NA,NA
467,35,NA,33,NA,3,NA,4,NA,NA
468,35,NA,33,NA,3,NA,4,NA,NA
469,35,NA,33,NA,3,NA,4,NA,NA
470,35,NA,33,NA,3,NA,4,NA,NA
471,35,NA,33,NA,3,NA,4,NA,NA
472,35,NA,33,NA,3,NA,4,NA,NA
473,35,NA,33,NA,3,NA,4,NA,NA
474,35,NA,33,NA,3,NA,4,NA,NA
475,58,NA,33,NA,3,NA,4,NA,NA
476,58,NA,33,NA,3,NA,4,NA,NA
477,58,NA,33,NA,3,NA,4,NA,NA
478,58,NA,33,NA,3,NA,4,NA,NA
479,58,NA,33,NA,3,NA,4,NA,NA
480,58,NA,33,NA,3,NA,4,NA,NA
481,58,NA,33,NA,3,NA,4,NA,NA
482,58,NA,33,NA,3,NA,4,NA,NA
483,58,NA,33,NA,3,NA,4,NA,NA
484,58,NA,33,NA,3,NA,4,NA,NA
485,58,NA,33,NA,3,NA,4,NA,NA
486,58,NA,33,NA,3,NA,4,NA,NA
487,58,NA,33,NA,3,NA,4,NA,NA
488,58,NA,33,NA,3,NA,4,NA,NA
489,58,NA,33,NA,3,NA,4,NA,NA
490,58,NA,33,NA,3,NA,4,NA,NA
491,58,NA,33,NA,3,NA,4,NA,NA
492,58,NA,33,NA,3,NA,4,NA,NA
493,58,NA,33,NA,3,NA,4,NA,NA
494,58,NA,33,NA,3,NA,4,NA,NA
495,58,NA,33,NA,3,NA,4,NA,NA
496,58,NA,33,NA,3,NA,4,NA,NA
497,58,NA,33,NA,3,NA,4,NA,NA
498,58,NA,33,NA,3,NA,4,NA,NA
499,58,NA,33,NA,3,NA,4,NA,NA
500,58,NA,33,NA,3,NA,4,NA,NA
501,58,NA,33,NA,3,NA,4,NA,NA
502,58,NA,33,NA,3,NA,4,NA,NA
503,58,NA,33,NA,3,NA,4,NA,NA
504,58,NA,33,NA,3,NA,4,NA,NA
505,58,NA,33,NA,3,NA,4,NA,NA
506,58,NA,33,NA,3,NA,4,NA,NA
507,58,NA,33,NA,3,NA,4,NA,NA
508,58,NA,33,NA,3,NA,4,NA,NA
509,58,NA,33,NA,3,NA,4,NA,NA
510,58,NA,33,NA,3,NA,4,NA,NA
511,58,NA,33,NA,3,NA,4,NA,NA
512,58,NA,33,NA,3,NA,4,NA,NA
513,58,NA,33,NA,3,NA,4,NA,NA
514,58,NA,33,NA,3,NA,4,NA,NA
515,58,NA,33,NA,3,NA,4,NA,NA
516,58,NA,33,NA,3,NA,4,NA,NA
517,58,NA,33,NA,3,NA,4,NA,NA
518,58,NA,33,NA,3,NA,4,NA,NA
519,58,NA,33,NA,3,NA,4,NA,NA
520,58,NA,33,NA,3,NA,4,NA,NA
521,58,NA,33,NA,3,NA,4,NA,NA
522,58,NA,33,NA,3,NA,4,NA,NA
523,59,NA,33,NA,3,NA,4,NA,NA
524,59,NA,33,NA,3,NA,4,NA,NA
525,59,NA,33,NA,3,NA,4,NA,NA
526,59,NA,33,NA,3,NA,4,NA,NA
527,59,NA,33,NA,3,NA,4,NA,NA
528,59,NA,33,NA,3,NA,4,NA,NA
529,59,NA,33,NA,3,NA,4,NA,NA
530,59,NA,33,NA,3,NA,4,NA,NA
531,59,NA,33,NA,3,NA,4,NA,NA
532,59,NA,33,NA,3,NA,4,NA,NA
533,59,NA,33,NA,3,NA,4,NA,NA
534,59,NA,33,NA,3,NA,4,NA,NA
535,59,NA,33,NA,3,NA,4,NA,NA
536,59,NA,33,NA,3,NA,4,NA,NA
537,59,NA,33,NA,3,NA,4,NA,NA
538,59,NA,33,NA,3,NA,4,NA,NA
539,59,NA,33,NA,3,NA,4,NA,NA
540,59,NA,33,NA,3,NA,4,NA,NA
541,59,NA,33,NA,3,NA,4,NA,NA
542,59,NA,33,NA,3,NA,4,NA,NA
543,59,NA,33,NA,3,NA,4,NA,NA
